paper_id,decision,rule_triggered,confidence,needs_human
REC_0272,EXCLUDE,E1..E4,1.0,NO
REC_0273,EXCLUDE,E1..E4,1.0,NO
REC_0275,EXCLUDE,E1..E4,1.0,NO
REC_0276,EXCLUDE,E1..E4,1.0,NO
REC_0280,EXCLUDE,E1..E4,1.0,NO
REC_0282,EXCLUDE,E1..E4,1.0,NO
REC_0283,EXCLUDE,E1..E4,1.0,NO
REC_0284,EXCLUDE,E1..E4,1.0,NO
REC_0287,EXCLUDE,E1..E4,1.0,NO
REC_0288,EXCLUDE,E1..E4,1.0,NO
REC_0290,EXCLUDE,E1..E4,1.0,NO
REC_0292,EXCLUDE,E1..E4,1.0,NO
REC_0295,EXCLUDE,E1..E4,1.0,NO
REC_0297,BORDERLINE_EXCLUDE,E1..E4,0.5,YES
REC_0298,EXCLUDE,E1..E4,1.0,NO
REC_0300,EXCLUDE,E1..E4,1.0,NO
REC_0301,EXCLUDE,E1..E4,1.0,NO
REC_0302,EXCLUDE,E1..E4,1.0,NO
REC_0303,EXCLUDE,E1..E4,1.0,NO
REC_0304,EXCLUDE,E1..E4,1.0,NO
REC_0306,EXCLUDE,E1..E4,1.0,NO
REC_0307,EXCLUDE,E1..E4,1.0,NO
REC_0308,EXCLUDE,E1..E4,1.0,NO
REC_0309,EXCLUDE,E1..E4,1.0,NO
REC_0310,BORDERLINE_EXCLUDE,E1..E4,0.5,YES
REC_0311,EXCLUDE,E1..E4,1.0,NO
REC_0312,EXCLUDE,E1..E4,1.0,NO
REC_0313,EXCLUDE,E1..E4,1.0,NO
REC_0314,EXCLUDE,E1..E4,1.0,NO
REC_0315,EXCLUDE,E1..E4,1.0,NO
REC_0316,EXCLUDE,E1..E4,1.0,NO
REC_0317,EXCLUDE,E1..E4,1.0,NO
REC_0319,EXCLUDE,E1..E4,1.0,NO
REC_0321,EXCLUDE,E1..E4,1.0,NO
REC_0322,EXCLUDE,E1..E4,1.0,NO
REC_0324,EXCLUDE,E1..E4,1.0,NO
REC_0325,EXCLUDE,E1..E4,1.0,NO
REC_0326,EXCLUDE,E1..E4,1.0,NO
REC_0327,EXCLUDE,E1..E4,1.0,NO
REC_0328,EXCLUDE,E1..E4,1.0,NO
REC_0329,EXCLUDE,E1..E4,1.0,NO
REC_0330,BORDERLINE_EXCLUDE,E1..E4,0.5,YES
REC_0331,EXCLUDE,E1..E4,1.0,NO
REC_0333,EXCLUDE,E1..E4,1.0,NO
REC_0335,EXCLUDE,E1..E4,1.0,NO
REC_0336,EXCLUDE,E1..E4,1.0,NO
REC_0337,EXCLUDE,E1..E4,1.0,NO
REC_0338,EXCLUDE,E1..E4,1.0,NO
REC_0339,EXCLUDE,E1..E4,1.0,NO
REC_0340,EXCLUDE,E1..E4,1.0,NO
REC_0342,EXCLUDE,E1..E4,1.0,NO
REC_0344,EXCLUDE,E1..E4,1.0,NO
REC_0348,EXCLUDE,E1..E4,1.0,NO
REC_0349,EXCLUDE,E1..E4,1.0,NO
REC_0350,EXCLUDE,E1..E4,1.0,NO
REC_0351,EXCLUDE,E1..E4,1.0,NO
REC_0352,EXCLUDE,E1..E4,1.0,NO
REC_0353,EXCLUDE,E1..E4,1.0,NO
REC_0354,EXCLUDE,E1..E4,1.0,NO
REC_0356,EXCLUDE,E1..E4,1.0,NO
REC_0357,EXCLUDE,E1..E4,1.0,NO
REC_0358,BORDERLINE_EXCLUDE,E1..E4,0.5,YES
REC_0359,EXCLUDE,E1..E4,1.0,NO
REC_0360,EXCLUDE,E1..E4,1.0,NO
REC_0361,EXCLUDE,E1..E4,1.0,NO
REC_0364,EXCLUDE,E1..E4,1.0,NO
REC_0365,EXCLUDE,E1..E4,1.0,NO
REC_0366,EXCLUDE,E1..E4,1.0,NO
REC_0367,EXCLUDE,E1..E4,1.0,NO
REC_0368,EXCLUDE,E1..E4,1.0,NO
REC_0370,EXCLUDE,E1..E4,1.0,NO
REC_0371,EXCLUDE,E1..E4,1.0,NO
REC_0373,EXCLUDE,E1..E4,1.0,NO
REC_0374,EXCLUDE,E1..E4,1.0,NO
REC_0375,EXCLUDE,E1..E4,1.0,NO
REC_0376,EXCLUDE,E1..E4,1.0,NO
REC_0377,EXCLUDE,E1..E4,1.0,NO
REC_0378,EXCLUDE,E1..E4,1.0,NO
REC_0379,EXCLUDE,E1..E4,1.0,NO
REC_0380,EXCLUDE,E1..E4,1.0,NO
REC_0381,EXCLUDE,E1..E4,1.0,NO
REC_0382,EXCLUDE,E1..E4,1.0,NO
REC_0383,EXCLUDE,E1..E4,1.0,NO
REC_0384,EXCLUDE,E1..E4,1.0,NO
REC_0385,EXCLUDE,E1..E4,1.0,NO
REC_0386,EXCLUDE,E1..E4,1.0,NO
REC_0387,EXCLUDE,E1..E4,1.0,NO
REC_0389,BORDERLINE_EXCLUDE,E1..E4,0.5,YES
REC_0390,EXCLUDE,E1..E4,1.0,NO
REC_0392,EXCLUDE,E1..E4,1.0,NO
REC_0393,EXCLUDE,E1..E4,1.0,NO
REC_0394,EXCLUDE,E1..E4,1.0,NO
REC_0395,EXCLUDE,E1..E4,1.0,NO
REC_0396,BORDERLINE_EXCLUDE,E1..E4,0.5,YES
REC_0397,EXCLUDE,E1..E4,1.0,NO
REC_0398,EXCLUDE,E1..E4,1.0,NO
REC_0399,EXCLUDE,E1..E4,1.0,NO
REC_0400,EXCLUDE,E1..E4,1.0,NO
REC_0401,EXCLUDE,E1..E4,1.0,NO
REC_0402,EXCLUDE,E1..E4,1.0,NO
REC_0403,EXCLUDE,E1..E4,1.0,NO
REC_0404,EXCLUDE,E1..E4,1.0,NO
REC_0405,EXCLUDE,E1..E4,1.0,NO
REC_0406,EXCLUDE,E1..E4,1.0,NO
REC_0407,EXCLUDE,E1..E4,1.0,NO
REC_0408,EXCLUDE,E1..E4,1.0,NO
REC_0410,EXCLUDE,E1..E4,1.0,NO
REC_0411,EXCLUDE,E1..E4,1.0,NO
REC_0413,EXCLUDE,E1..E4,1.0,NO
REC_0414,EXCLUDE,E1..E4,1.0,NO
REC_0415,EXCLUDE,E1..E4,1.0,NO
REC_0416,EXCLUDE,E1..E4,1.0,NO
REC_0417,EXCLUDE,E1..E4,1.0,NO
REC_0418,EXCLUDE,E1..E4,1.0,NO
REC_0419,EXCLUDE,E1..E4,1.0,NO
REC_0420,EXCLUDE,E1..E4,1.0,NO
REC_0421,EXCLUDE,E1..E4,1.0,NO
REC_0422,EXCLUDE,E1..E4,1.0,NO
REC_0423,EXCLUDE,E1..E4,1.0,NO
REC_0424,EXCLUDE,E1..E4,1.0,NO
REC_0427,EXCLUDE,E1..E4,1.0,NO
REC_0428,EXCLUDE,E1..E4,1.0,NO
REC_0429,EXCLUDE,E1..E4,1.0,NO
REC_0431,EXCLUDE,E1..E4,1.0,NO
REC_0432,EXCLUDE,E1..E4,1.0,NO
REC_0433,EXCLUDE,E1..E4,1.0,NO
REC_0434,EXCLUDE,E1..E4,1.0,NO
REC_0435,EXCLUDE,E1..E4,1.0,NO
REC_0436,EXCLUDE,E1..E4,1.0,NO
REC_0437,EXCLUDE,E1..E4,1.0,NO
REC_0439,EXCLUDE,E1..E4,1.0,NO
REC_0440,BORDERLINE_EXCLUDE,E1..E4,0.5,YES
REC_0441,EXCLUDE,E1..E4,1.0,NO
REC_0442,EXCLUDE,E1..E4,1.0,NO
REC_0443,EXCLUDE,E1..E4,1.0,NO
REC_0445,EXCLUDE,E1..E4,1.0,NO
REC_0446,EXCLUDE,E1..E4,1.0,NO
REC_0447,EXCLUDE,E1..E4,1.0,NO
REC_0448,EXCLUDE,E1..E4,1.0,NO
REC_0449,EXCLUDE,E1..E4,1.0,NO
REC_0451,EXCLUDE,E1..E4,1.0,NO
REC_0452,EXCLUDE,E1..E4,1.0,NO
REC_0454,EXCLUDE,E1..E4,1.0,NO
REC_0457,EXCLUDE,E1..E4,1.0,NO
REC_0458,BORDERLINE_EXCLUDE,E1..E4,0.7,NO
REC_0460,EXCLUDE,E1..E4,1.0,NO
REC_0462,EXCLUDE,E1..E4,1.0,NO
REC_0463,EXCLUDE,E1..E4,1.0,NO
REC_0465,EXCLUDE,E1..E4,1.0,NO
REC_0466,EXCLUDE,E1..E4,1.0,NO
REC_0467,EXCLUDE,E1..E4,1.0,NO
REC_0468,EXCLUDE,E1..E4,1.0,NO
REC_0470,EXCLUDE,E1..E4,1.0,NO
REC_0471,EXCLUDE,E1..E4,1.0,NO
REC_0472,EXCLUDE,E1..E4,1.0,NO
REC_0473,EXCLUDE,E1..E4,1.0,NO
REC_0474,EXCLUDE,E1..E4,1.0,NO
REC_0476,EXCLUDE,E1..E4,1.0,NO
REC_0477,EXCLUDE,E1..E4,1.0,NO
REC_0478,EXCLUDE,E1..E4,1.0,NO
REC_0479,EXCLUDE,E1..E4,1.0,NO
REC_0480,EXCLUDE,E1..E4,1.0,NO
REC_0482,EXCLUDE,E1..E4,1.0,NO
REC_0484,EXCLUDE,E1..E4,1.0,NO
REC_0486,EXCLUDE,E1..E4,1.0,NO
REC_0487,EXCLUDE,E1..E4,1.0,NO
REC_0490,EXCLUDE,E1..E4,1.0,NO
REC_0491,EXCLUDE,E1..E4,1.0,NO
REC_0492,EXCLUDE,E1..E4,1.0,NO
REC_0495,EXCLUDE,E1..E4,1.0,NO
REC_0496,EXCLUDE,E1..E4,1.0,NO
REC_0497,EXCLUDE,E1..E4,1.0,NO
REC_0498,EXCLUDE,E1..E4,1.0,NO
REC_0499,EXCLUDE,E1..E4,1.0,NO
REC_0500,EXCLUDE,E1..E4,1.0,NO
REC_0501,EXCLUDE,E1..E4,1.0,NO
REC_0504,EXCLUDE,E1..E4,1.0,NO
REC_0505,EXCLUDE,E1..E4,1.0,NO
REC_0506,EXCLUDE,E1..E4,1.0,NO
REC_0507,BORDERLINE_EXCLUDE,E1..E4,0.5,YES
REC_0508,EXCLUDE,E1..E4,1.0,NO
REC_0509,EXCLUDE,E1..E4,1.0,NO
REC_0510,EXCLUDE,E1..E4,1.0,NO
REC_0511,EXCLUDE,E1..E4,1.0,NO
REC_0512,EXCLUDE,E1..E4,1.0,NO
REC_0513,EXCLUDE,E1..E4,1.0,NO
REC_0514,BORDERLINE_EXCLUDE,E1..E4,0.7,NO
REC_0515,EXCLUDE,E1..E4,1.0,NO
REC_0516,EXCLUDE,E1..E4,1.0,NO
REC_0517,EXCLUDE,E1..E4,1.0,NO
REC_0518,EXCLUDE,E1..E4,1.0,NO
REC_0519,EXCLUDE,E1..E4,1.0,NO
REC_0520,EXCLUDE,E1..E4,1.0,NO
REC_0521,EXCLUDE,E1..E4,1.0,NO
REC_0522,EXCLUDE,E1..E4,1.0,NO
REC_0523,EXCLUDE,E1..E4,1.0,NO
REC_0524,EXCLUDE,E1..E4,1.0,NO
REC_0525,EXCLUDE,E1..E4,1.0,NO
REC_0528,EXCLUDE,E1..E4,1.0,NO
REC_0531,EXCLUDE,E1..E4,1.0,NO
REC_0532,EXCLUDE,E1..E4,1.0,NO
REC_0533,EXCLUDE,E1..E4,1.0,NO
REC_0535,EXCLUDE,E1..E4,1.0,NO
REC_0536,EXCLUDE,E1..E4,1.0,NO
REC_0538,EXCLUDE,E1..E4,1.0,NO
REC_0539,EXCLUDE,E1..E4,1.0,NO
REC_0540,EXCLUDE,E1..E4,1.0,NO
REC_0541,EXCLUDE,E1..E4,1.0,NO
REC_0542,EXCLUDE,E1..E4,1.0,NO
REC_0543,EXCLUDE,E1..E4,1.0,NO
REC_0545,EXCLUDE,E1..E4,1.0,NO
REC_0546,EXCLUDE,E1..E4,1.0,NO
REC_0547,BORDERLINE_EXCLUDE,E1..E4,0.5,YES
REC_0548,EXCLUDE,E1..E4,1.0,NO
REC_0549,EXCLUDE,E1..E4,1.0,NO
REC_0550,EXCLUDE,E1..E4,1.0,NO
REC_0551,EXCLUDE,E1..E4,1.0,NO
REC_0552,EXCLUDE,E1..E4,1.0,NO
REC_0553,EXCLUDE,E1..E4,1.0,NO
REC_0554,EXCLUDE,E1..E4,1.0,NO
REC_0555,EXCLUDE,E1..E4,1.0,NO
REC_0556,EXCLUDE,E1..E4,1.0,NO
REC_0557,EXCLUDE,E1..E4,1.0,NO
REC_0558,EXCLUDE,E1..E4,1.0,NO
REC_0559,EXCLUDE,E1..E4,1.0,NO
REC_0560,EXCLUDE,E1..E4,1.0,NO
REC_0561,EXCLUDE,E1..E4,1.0,NO
REC_0562,EXCLUDE,E1..E4,1.0,NO
REC_0563,EXCLUDE,E1..E4,1.0,NO
REC_0564,EXCLUDE,E1..E4,1.0,NO
REC_0565,EXCLUDE,E1..E4,1.0,NO
REC_0566,EXCLUDE,E1..E4,1.0,NO
REC_0567,EXCLUDE,E1..E4,1.0,NO
REC_0568,EXCLUDE,E1..E4,1.0,NO
REC_0570,EXCLUDE,E1..E4,1.0,NO
REC_0571,EXCLUDE,E1..E4,1.0,NO
REC_0573,EXCLUDE,E1..E4,1.0,NO
REC_0574,EXCLUDE,E1..E4,1.0,NO
REC_0575,EXCLUDE,E1..E4,1.0,NO
REC_0576,EXCLUDE,E1..E4,1.0,NO
REC_0577,EXCLUDE,E1..E4,1.0,NO
REC_0578,EXCLUDE,E1..E4,1.0,NO
REC_0580,EXCLUDE,E1..E4,1.0,NO
REC_0581,EXCLUDE,E1..E4,1.0,NO
REC_0582,EXCLUDE,E1..E4,1.0,NO
REC_0583,EXCLUDE,E1..E4,1.0,NO
REC_0584,EXCLUDE,E1..E4,1.0,NO
REC_0585,EXCLUDE,E1..E4,1.0,NO
REC_0586,EXCLUDE,E1..E4,1.0,NO
REC_0587,EXCLUDE,E1..E4,1.0,NO
REC_0588,EXCLUDE,E1..E4,1.0,NO
REC_0589,EXCLUDE,E1..E4,1.0,NO
REC_0590,EXCLUDE,E1..E4,1.0,NO
REC_0591,EXCLUDE,E1..E4,1.0,NO
REC_0592,EXCLUDE,E1..E4,1.0,NO
REC_0593,EXCLUDE,E1..E4,1.0,NO
REC_0596,EXCLUDE,E1..E4,1.0,NO
REC_0597,EXCLUDE,E1..E4,1.0,NO
REC_0599,EXCLUDE,E1..E4,1.0,NO
REC_0600,EXCLUDE,E1..E4,1.0,NO
REC_0602,EXCLUDE,E1..E4,1.0,NO
