paper_id,status,issues,pdf_exists,pdf_bytes,pdf_pages_actual,pdf_pages_csv,pages_match,text_chars,text_tokens,nonascii_ratio,shorttok_ratio,text_status,missing_fields,qa_consistent,qa_sum,qa_total_csv,fulltext_consistent
REC_0647,PASS,,True,1585955,8,8,True,46879,7241,0.0093,0.204,PASS,,True,5,5,True
REC_0652,PASS,,True,7741753,6,6,True,33042,4763,0.0054,0.1671,PASS,,True,6,6,True
REC_0656,PASS,,True,1961564,10,10,True,48760,7009,0.0042,0.1505,PASS,,True,9,9,True
REC_0687,PASS,,True,1940213,6,6,True,22277,3343,0.0085,0.2076,PASS,,True,7,7,True
REC_0688,PASS,,True,2993331,14,14,True,52697,8606,0.0068,0.2129,PASS,,True,7,7,True
REC_0701,PASS,,True,1489597,6,6,True,33302,4689,0.0066,0.1695,PASS,,True,5,5,True
REC_0705,PASS,,True,2773304,13,13,True,60936,10118,0.0252,0.2423,PASS,,True,8,8,True
REC_0706,PASS,,True,5914303,7,7,True,37081,5397,0.0023,0.1414,PASS,,True,9,9,True
REC_0713,PASS,,True,3743783,8,8,True,40456,6137,0.0085,0.191,PASS,,True,8,8,True
REC_0716,PASS,,True,648129,8,8,True,34357,5484,0.0059,0.1931,PASS,,True,3,3,True
REC_0719,PASS,,True,755444,6,6,True,24848,4272,0.0195,0.2755,PASS,,True,5,5,True
REC_0752,PASS,,True,381900,7,7,True,37892,6687,0.0139,0.2955,PASS,,True,7,7,True
REC_0814,PASS,,True,2670964,13,13,True,63435,10501,0.0051,0.2305,PASS,,True,6,6,True
REC_0816,PASS,,True,4637592,8,8,True,33981,4941,0.0049,0.1724,PASS,,True,8,8,True
REC_0824,PASS,,True,1994514,11,11,True,50797,8296,0.0157,0.224,PASS,,True,8,8,True
REC_0840,PASS,,True,18077134,6,6,True,27603,3831,0.0057,0.1227,PASS,,True,4,4,True
REC_0857,PASS,,True,1720709,9,9,True,53828,7828,0.0072,0.1804,PASS,,True,8,8,True
REC_0859,PASS,,True,2516665,10,10,True,41487,6731,0.0071,0.2952,PASS,,True,6,6,True
REC_0866,PASS,,True,628145,6,6,True,37294,5095,0.0024,0.1611,PASS,,True,3,3,True
REC_0870,PASS,,True,987583,6,6,True,32794,4071,0.003,0.1231,PASS,,True,7,7,True
REC_0932,PASS,,True,921061,5,5,True,19929,3108,0.0002,0.203,PASS,,True,5,5,True
REC_0951,PASS,,True,3527817,12,12,True,57994,8327,0.0121,0.168,PASS,,True,10,10,True
REC_0960,PASS,,True,4050752,8,8,True,38246,5713,0.0042,0.1873,PASS,,True,6,6,True
REC_0961,PASS,,True,754375,7,7,True,37708,5840,0.0065,0.1913,PASS,,True,4,4,True
REC_0973,PASS,,True,542024,7,7,True,29126,5063,0.0092,0.2759,PASS,,True,4,4,True
REC_0981,PASS,,True,425681,7,7,True,24767,4039,0.0085,0.2129,PASS,,True,5,5,True
REC_0986,PASS,,True,1327738,9,9,True,34964,5856,0.015,0.2223,PASS,,True,5,5,True
REC_0993,PASS,,True,9340493,30,30,True,86107,14713,0.0095,0.2422,PASS,,True,9,9,True
REC_0994,PASS,,True,820670,7,7,True,26555,3938,0.0026,0.193,PASS,,True,5,5,True
REC_1001,PASS,,True,2264600,39,39,True,79978,12968,0.0051,0.2136,PASS,,True,8,8,True
REC_1006,PASS,,True,1167970,18,18,True,65856,9163,0.0042,0.1536,PASS,,True,6,6,True
REC_1007,PASS,,True,17176159,21,21,True,64399,9584,0.0119,0.1736,PASS,,True,8,8,True
REC_1018,PASS,,True,1346785,24,24,True,89180,12109,0.0026,0.1701,PASS,,True,8,8,True
