priority,id,filename,title,year,source,doi,bucket,ieee_link,doi_link,scholar_link,done_Y_N,notes
41,REC_1035,REC_1035.pdf,An improved selective correction adaptive particle filter-based cooperative navigation algorithm for UAV swarms in GNSS-denied areas,2026,Scopus,10.1088/1361-6501/ae65bc,recent,https://www.scopus.com/pages/publications/105040256436?origin=resultslist,https://doi.org/10.1088/1361-6501/ae65bc,https://scholar.google.com/scholar?q=An+improved+selective+correction+adaptive+particle+filter-based+cooperative+navigation+algorithm+for+UAV+swarms+in+GNSS-denied+areas,,
42,REC_1043,REC_1043.pdf,Consistent-Innovation-Aided Distributed Cooperative Localization for Multi-UAV Navigation in GNSS-Denied Environments,2026,Scopus,10.3390/rs18142286,recent,https://www.scopus.com/pages/publications/105045695200?origin=resultslist,https://doi.org/10.3390/rs18142286,https://scholar.google.com/scholar?q=Consistent-Innovation-Aided+Distributed+Cooperative+Localization+for+Multi-UAV+Navigation+in+GNSS-Denied+Environments,,
43,REC_1044,REC_1044.pdf,Magnetometer-based enhanced visual-inertial odometry for reliable long-range navigation in GNSS-denied high-altitude environment,2026,Scopus,10.1016/j.ast.2026.112673,recent,https://www.scopus.com/pages/publications/105039694002?origin=resultslist,https://doi.org/10.1016/j.ast.2026.112673,https://scholar.google.com/scholar?q=Magnetometer-based+enhanced+visual-inertial+odometry+for+reliable+long-range+navigation+in+GNSS-denied+high-altitude+environment,,
44,REC_1046,REC_1046.pdf,A UAV scene matching method based on triplet relationship and sliding mode control for GPS-denied environments,2026,Scopus,10.1016/j.measurement.2026.120581,recent,https://www.scopus.com/pages/publications/105028606369?origin=resultslist,https://doi.org/10.1016/j.measurement.2026.120581,https://scholar.google.com/scholar?q=A+UAV+scene+matching+method+based+on+triplet+relationship+and+sliding+mode+control+for+GPS-denied+environments,,
45,REC_1051,REC_1051.pdf,Autonomous vision-based UAV localization and optimization-based path planning in GPS-denied environments: a review,2026,Scopus,10.1088/2631-8695/ae305b,recent,https://www.scopus.com/pages/publications/105027177299?origin=resultslist,https://doi.org/10.1088/2631-8695/ae305b,https://scholar.google.com/scholar?q=Autonomous+vision-based+UAV+localization+and+optimization-based+path+planning+in+GPS-denied+environments%3A+a+review,,
46,REC_1069,REC_1069.pdf,UAV–UGV Collaborative Localization in GNSS-Denied Large-Scale Environments: An Anchor-Free VIO–UWB Fusion with Adaptive Weighting and Outlier Suppression,2026,Scopus,10.3390/drones10030175,recent,https://www.scopus.com/pages/publications/105033909066?origin=resultslist,https://doi.org/10.3390/drones10030175,https://scholar.google.com/scholar?q=UAV%E2%80%93UGV+Collaborative+Localization+in+GNSS-Denied+Large-Scale+Environments%3A+An+Anchor-Free+VIO%E2%80%93UWB+Fusion+with+Adaptive+Weighting+and+Outlier+Suppression,,
47,REC_1080,REC_1080.pdf,Adaptive neural pose regression enabled by updatable graphics-based digital twin for robust UAV localization in GPS-denied civil infrastructure,2026,Scopus,10.1016/j.robot.2026.105570,recent,https://www.scopus.com/pages/publications/105041281487?origin=resultslist,https://doi.org/10.1016/j.robot.2026.105570,https://scholar.google.com/scholar?q=Adaptive+neural+pose+regression+enabled+by+updatable+graphics-based+digital+twin+for+robust+UAV+localization+in+GPS-denied+civil+infrastructure,,
48,REC_1083,REC_1083.pdf,GNSS-Denied UAV Terrain Matching Navigation Based on the Autoencoder Network with Contrastive Learning,2026,Scopus,10.3390/drones10050339,recent,https://www.scopus.com/pages/publications/105040241814?origin=resultslist,https://doi.org/10.3390/drones10050339,https://scholar.google.com/scholar?q=GNSS-Denied+UAV+Terrain+Matching+Navigation+Based+on+the+Autoencoder+Network+with+Contrastive+Learning,,
49,REC_1084,REC_1084.pdf,CLAK:CNN-LSTM-Attention and Kolmogorov-Arnold Networks for non-visual UAV localization in GNSS-denied environments,2026,Scopus,10.1186/s43020-026-00192-1,recent,https://www.scopus.com/pages/publications/105034388649?origin=resultslist,https://doi.org/10.1186/s43020-026-00192-1,https://scholar.google.com/scholar?q=CLAK%3ACNN-LSTM-Attention+and+Kolmogorov-Arnold+Networks+for+non-visual+UAV+localization+in+GNSS-denied+environments,,
50,REC_1092,REC_1092.pdf,Efficient SLAM Algorithm Based on Quaternions for Real-Time Navigation of Unmanned Aerial Vehicles,2026,Scopus,10.1002/ett.70386,recent,https://www.scopus.com/pages/publications/105031481355?origin=resultslist,https://doi.org/10.1002/ett.70386,https://scholar.google.com/scholar?q=Efficient+SLAM+Algorithm+Based+on+Quaternions+for+Real-Time+Navigation+of+Unmanned+Aerial+Vehicles,,
