paper_number,title,year,experiment_type,appraiser1_real_robot,appraiser1_ground_truth,appraiser1_repeatability,appraiser1_absolute_and_relative_error,appraiser1_trajectory_duration_scale,appraiser1_failure_or_ablation,appraiser1_established_baseline,appraiser1_matched_baseline,appraiser1_released_code_data_detail,appraiser2_real_robot,appraiser2_ground_truth,appraiser2_repeatability,appraiser2_absolute_and_relative_error,appraiser2_trajectory_duration_scale,appraiser2_failure_or_ablation,appraiser2_established_baseline,appraiser2_matched_baseline,appraiser2_released_code_data_detail,consensus_rigor,consensus_reporting,consensus_baseline,consensus_repro,consensus_notes
851,Combining line segments and points for appearance-based indoor navigation by image based visual servoing,2017,Real_World,,,,,,,,,,,,,,,,,,,,,,,
861,"The MagPIE2 Dataset for Mapping, Localization, and Simultaneous Localization and Mapping Using Magnetic Fields",2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
868,Altitude Prediction Method Using CNN-LSTM for GNSS/INS/Barometer Integrated Navigation During GNSS Outages,2025,Simulation,,,,,,,,,,,,,,,,,,,,,,,
876,Autonomous Quadrotor Navigation Using LiDAR SLAM and Adaptive Tree-Based Path Planning in Simulation,2024,Both,,,,,,,,,,,,,,,,,,,,,,,
891,SLAM based adaptive navigation of AUVs for oil spill cleaning,2014,Real_World,,,,,,,,,,,,,,,,,,,,,,,
899,Applying and Exploring Supervised Contrastive Regression for Vision-Based Steering Prediction,2023,Real_World,,,,,,,,,,,,,,,,,,,,,,,
901,Deep Neural Network Based Inertial Odometry Using Low-Cost Inertial Measurement Units,2021,Real_World,,,,,,,,,,,,,,,,,,,,,,,
908,Path planning in GPS-denied environments: A collective intelligence approach,2015,Real_World,,,,,,,,,,,,,,,,,,,,,,,
909,Deep Network Uncertainty Maps for Indoor Navigation,2019,Real_World,,,,,,,,,,,,,,,,,,,,,,,
910,A Mobile Robot with the Functions of Visual Navigation and Digital Identification,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
917,Robot Navigation: Contrastive Learning of DistilBERT-Based Semantic Embeddings for Scene Understanding,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
926,The Cloudlet MEC Enabling ISAR Based Indoor Localization and Navigation System Using Passive UHF RFID,2021,Real_World,,,,,,,,,,,,,,,,,,,,,,,
931,Pedestrian Navigation Using Waist-Mounted IMU and RTK,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
936,A Robust Graph-Based Bathymetric Simultaneous Localization and Mapping Approach for AUVs,2024,Real_World,,,,,,,,,,,,,,,,,,,,,,,
942,A Positioning Error Correction Method for Dead-Reckoning Navigation of Underwater Vehicles,2025,Simulation,,,,,,,,,,,,,,,,,,,,,,,
944,Trajectory based fuzzy controller for indoor navigation,2011,Real_World,,,,,,,,,,,,,,,,,,,,,,,
949,On reliability of data transmission and distance estimation using mobile underwater acoustic modems,2018,Real_World,,,,,,,,,,,,,,,,,,,,,,,
951,PSS-LIO A Computationally Efficient LiDAR-Inertial Odometry Framework for UAV Building Inspection via Geometric Predictability and Structure Prior Learning,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
952,Measurement Based Identification of MPCs in an Urban Drone-to-Drone Propagation Scenario,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
958,A Real-Time Autonomous Gravity Measurement Method for Underwater Gravity-Aided Navigation,2023,Simulation,,,,,,,,,,,,,,,,,,,,,,,
960,Cooperative Visual Inertial Odometry for Heterogeneous Swarm of Drones Navigating in Noisy Environments,2022,Simulation,,,,,,,,,,,,,,,,,,,,,,,
962,SIGNAV: Semantically-Informed GPS-Denied Navigation and Mapping in Visually-Degraded Environments,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
970,Multi-Sensor Fusion–Based Localization Method for Underwater Autonomous Vehicles,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
971,Smart Wheelchair to Facilitate Disabled Individuals,2019,Real_World,,,,,,,,,,,,,,,,,,,,,,,
976,CNN-LiDAR-SLAM: Multimodal Fusion With Object Detection for Indoor Localization,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
977,Underwater navigation: LiDAR sensing in water to 9 m distance through semi-transparent obstacles,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
983,Real-Time Velocity and Hovering Control for Rotorcraft Based on Visual State Estimation,2021,Real_World,,,,,,,,,,,,,,,,,,,,,,,
985,A Benchmark of Absolute and Relative Positioning Solutions in GNSS Denied Environments,2024,Real_World,,,,,,,,,,,,,,,,,,,,,,,
989,Covariance and Gain-based Federated Unscented Kalman Filter for Acoustic-Visual-Inertial Underwater Navigation,2021,Real_World,,,,,,,,,,,,,,,,,,,,,,,
992,A Vertical Channel-Enhanced Fusion Method Based on RINS and Barometric Altimeter for UAVs in GNSS Denial Environments,2023,Simulation,,,,,,,,,,,,,,,,,,,,,,,
993,"Fast, autonomous flight in GPS-denied and cluttered environments",2018,Real_World,,,,,,,,,,,,,,,,,,,,,,,
997,Autonomous Flight for Multi-UAV in GPS-Denied Environment,2023,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1002,An integrated UAV navigation system based on geo-registered 3D point cloud,2017,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1004,A Robust Localization Solution for an Uncrewed Ground Vehicle in Unstructured Outdoor GNSS-Denied Environments,2023,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1011,Real-time unmanned aerial system (UAS) based interference localization in a GNSS denied environment,2019,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1017,A Real-Time Simulator for Navigation in GNSS-Denied Environments of UAV Swarms,2023,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1018,OPsCV: A Robust Framework for Aerial Navigation under Global Positioning System Denied Conditions,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1019,Multi-Sensor Fusion SLAM for Interceptor UAVs in GNSS-Denied Environments: A Review,2026,Both,,,,,,,,,,,,,,,,,,,,,,,
1020,R-LVIO: Resilient LiDAR-Visual-Inertial Odometry for UAVs in GNSS-denied Environment,2024,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1044,Magnetometer-based enhanced visual-inertial odometry for reliable long-range navigation in GNSS-denied high-altitude environment,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1046,A UAV scene matching method based on triplet relationship and sliding mode control for GPS-denied environments,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1052,Seamless navigation and mapping using an INS/GNSS/grid-based SLAM semi-tightly coupled integration scheme,2019,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1055,An Autonomously Navigation System for Forestry Quadrotor within GPS-denied Below-canopy Environment,2018,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1064,Autonomous Navigation for Micro Aerial Vehicles in Complex GNSS-denied Environments,2016,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1069,UAV–UGV Collaborative Localization in GNSS-Denied Large-Scale Environments: An Anchor-Free VIO–UWB Fusion with Adaptive Weighting and Outlier Suppression,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1070,Hybrid Machine Learning VDM for UAVs in GNSS-denied Environment,2018,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1072,Aerial and ground robot collaboration for autonomous mapping in search and rescue missions,2020,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1076,Robotic inspection of vertical surfaces in GNSS-denied environments,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1080,Adaptive neural pose regression enabled by updatable graphics-based digital twin for robust UAV localization in GPS-denied civil infrastructure,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1083,GNSS-Denied UAV Terrain Matching Navigation Based on the Autoencoder Network with Contrastive Learning,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1086,Vision-based Relative Navigation and Drone Swarming Control for Inspection in GPS-denied Environment,2024,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1092,Efficient SLAM Algorithm Based on Quaternions for Real-Time Navigation of Unmanned Aerial Vehicles,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1093,Landmark-Based Multi-sensor Fusion SLAM Algorithm for Autonomous Positioning in GNSS-Denied Environments,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1105,3D SCENE RECONSTRUCTION AND PATH PLANNING METHOD FOR UAV IN GNSS-DENIED ENVIRONMENT,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1106,Adaptive Particle Filter-Neural Network Fusion for Cooperative Localization of Multi-UAV Systems in GNSS-Denied Indoor Environments,2026,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1108,A collaborative navigation algorithm for UAV Ad Hoc network based on improved sequence quadratic programming and unscented Kalman filtering in GNSS denied area,2025,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1113,Towards UAV Localization in GNSS-Denied Environments: The SatLoc Dataset and a Hierarchical Adaptive Fusion Framework,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1116,Development of a Visual SLAM-Based Autonomous UAV System for Greenhouse Plant Monitoring,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1119,A Low-Cost Experimental Quadcopter Drone Design for Autonomous Search-and-Rescue Missions in GNSS-Denied Environments,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1123,A Novel Scene-Matching Positioning Approach for Low-Altitude UAVs Considering Elevation Differences in Satellite Images,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1125,Flight in GPS-denied environment: Autonomous navigation system for micro-aerial vehicle,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1134,A Decision-Making Framework for Autonomous Aerial Vehicles in Responding to GPS Loss,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1137,"Integrated guidance, navigation, and control system for a UAV in a GPS denied environment",2018,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1149,Simultaneous Localization and Mapping using Sensor Fusion for UAV Navigation in GPS-Denied Environments,2026,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1152,An Online Solution of LiDAR Scan Matching Aided Inertial Navigation System for Indoor Mobile Mapping,2017,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1154,A Generic Plug and Play Navigation Fusion Strategy for Land Vehicles in GNSS Denied Environment,2019,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1155,Relative Navigation of UAV Swarm in a GPS Denied Environment1,2023,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1159,GPS-Denied Navigation Aided by Synthetic Aperture Radar Using the Range-Doppler Algorithm,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1160,Towards Large-Scale Relative Localization in Multi-Robot Systems with Dynamic UWB Role Allocation,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1164,Lightweight and accurate infrared rangefinder-fused LiDAR-inertial localization for UAV-based bridge inspection in GPS-denied environments,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1168,Self-localization of tethered drones without a cable force sensor in GPS-denied environments,2021,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1169,AI-Enhanced Thermal–Visual–Inertial Odometry and Autonomous Planning for GPS-Denied Search-and- Rescue Robotics,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1171,"LiDAR-Based Multi-Modal UAV Navigation Dataset for Robust Benchmarking in Complex-Structured, GNSS-Denied Industrial Environments",2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1178,Aerial-Ground Robots Collaborative 3D Mapping in GNSS-Denied Environments,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1179,"A comparison of SWaP-limited, visual-inertial odometry systems for GPS-denied navigation",2020,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1183,Co-Operatively Increasing Smoothing and Mapping Based on Switching Function,2024,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1188,GPS-Denied State Estimation for Blue/NDAA Unmanned Multi-Rotor Vehicles,2023,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1193,Adaptive Navigation Strategy for Low-Cost IMU-Assisted Vehicles in GNSS-Denied Traffic Environment,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1199,Dependable navigation in GPS denied environment: A multi-sensor fusion technique,2013,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1202,LiDAR-based 3D SLAM for autonomous navigation in stacked cage farming houses: An evaluation,2025,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1208,Energy-Aware Adaptive Communication Topology with Edge-AI Navigation for UAV Swarms in GNSS-Denied Environments,2026,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1210,"Experiments in Fast, Autonomous, GPS-Denied Quadrotor Flight",2018,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1213,Laser-aided navigation with loop closure capabilities for Micro Aerial Vehicles in indoor and urban environments,2014,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1217,Vision based UAS navigation for RFI localization,2018,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1220,Absolute velocity estimation of UAVs based on phase correlation and monocular vision in unknown GNSS-denied environments,2024,Both,,,,,,,,,,,,,,,,,,,,,,,
1227,A hybrid localization approach for UAV in GPS denied areas,2011,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1228,An auto-landing strategy based on pan-tilt based visual servoing for unmanned aerial vehicle in GNSS-denied environments,2021,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1230,ALM-LED: autonomous LiDAR mapping in underground space with Luojia explorer anti-collision drone,2025,Both,,,,,,,,,,,,,,,,,,,,,,,
1233,Tightly-Coupled Air-Ground Collaborative System for Autonomous UGV Navigation in GPS-Denied Environments,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1235,Autonomous Positioning System for UAV Scene Matching Under GNSS-Denied Environments,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1250,Long-Distance GNSS-Denied Visual Inertial Navigation for Autonomous Fixed-Wing Unmanned Air Vehicles: SO(3) Manifold Filter Based on Virtual Vision Sensor,2023,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1251,Reinforcement learning based UAV formation control in GPS-denied environment,2023,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1253,Real-Time Autonomous UAV Navigation with SLAM-Based Mapping and Direction-Oriented Exploration in Forest-like GNSS-Denied Scenarios,2026,Both,,,,,,,,,,,,,,,,,,,,,,,
1254,Sensor Selection Tradeoff for Robust C-SLAM in UAV Swarm Systems for Indoor Navigation,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1269,Advanced Air Mobility Safety Challenges: Case Study on Visual SLAM for Enhanced Navigation in Unmanned Aviation Integration,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1278,Vision-based SLAM system for small UAVs in GPS-denied environments,2012,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1282,A Lidar-Inertial Navigation System for UAVs in GNSS-Denied Environment with Spatial Grid Structures,2023,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1295,Digital Twin Approach for Drift-Free UAV Localization in GPS-Denied Environments,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1296,A novel initialization method for monocular visual inertial navigation,2023,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1298,Cooperative Localization for GNSS-Denied Subterranean Navigation: A UAV–UGV Team Approach,2024,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1299,Cascade-structured Visual-Inertial Navigation System for Aerial Imaginary,2024,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1304,Formation-Constrained Cooperative Localization for UAV Swarms in GNSS-Denied Environments,2026,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1305,Evaluation of the Benefits of Zero Velocity Update in Decentralized Extended Kalman Filter-Based Cooperative Localization Algorithms for GNSS-Denied Multi-Robot Systems,2023,Both,,,,,,,,,,,,,,,,,,,,,,,
1319,Design and implementation of an autonomous electric vehicle for self‐driving control under gnss‐denied environments,2021,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1323,Robust and accurate deterministic visual odometry,2020,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1346,Tag-based visual-inertial localization of unmanned aerial vehicles in indoor construction environments using an on-manifold extended Kalman filter,2022,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1351,A UWB-AOA/IMU Integrated Navigation System for 6-DoF Indoor UAV Localization,2025,Both,,,,,,,,,,,,,,,,,,,,,,,
1367,Simulation and Experimental Evaluation of a Vehicle–Road Cooperative Positioning Method in Global Navigation Satellite Systems (GNSS)-Denied Environments,2026,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1377,Ultra-Wideband-Based Precise Localization of Autonomous Vehicle in GPS-Denied Environments,2021,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1378,Optical Flow Sensor/INS/Magnetometer Integrated Navigation System for MAV in GPS-Denied Environment,2016,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1384,Combined laser and vision-aided inertial navigation for an indoor unmanned aerial vehicle,2014,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1387,An Integrated RF Sensor Design for Anchor-Free Collaborative Localization in GNSS-Denied Environments,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1391,Rapid development methodology of agricultural robot navigation system working in GNSS-denied environment,2023,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1399,Adaptive Texture-Aware Pixel Selection for Robust Direct Visual Odometry in UAV Navigation,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1400,Indoor SLAM for micro aerial vehicles using visual and laser sensor fusion,2016,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1402,Oxpecker: A Tethered UAV for Inspection of Stone-Mine Pillars,2023,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1420,SLAM technology in unmanned aerial vehicle,2024,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1423,A robust real-time vision based GPS-denied navigation system of UAV,2016,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1433,UAV autonomous localization using macro-features matching with a CAD model,2020,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1434,"Design, Localization, Perception, and Control for GPS-Denied Autonomous Aerial Grasping and Harvesting",2024,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1441,A semantic vector map-based approach for aircraft positioning in GNSS/GPS denied large-scale environment,2024,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1458,LSVL: Large-scale season-invariant visual localization for UAVs,2023,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1461,Indoor GPS-denied context based SLAM aided guidance for autonomous unmanned aerial systems,2013,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1491,Deep convolutional neural network based autonomous drone navigation,2020,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1501,Ultra-Wideband Localization and Deep-Learning-Based Plant Monitoring Using Micro Air Vehicles,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1502,A UAV-based explore-then-exploit system for autonomous indoor facility inspection and scene reconstruction,2023,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1503,"WAVN: Wide Area Visual Navigation for Large-scale, GPS-denied Environments",2023,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1507,Information of Opportunity-Aided VI-SLAM for Enhancing Accuracy in Perpetual GNSS-Denied Environments Without Loop Closure,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1508,Online Multi-Sensor Calibration Method for Unmanned Surface Vehicle Swarms in Complex and Contested Environments,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1509,Radar Based Autonomous Precision Takeoff and Landing System for VTOLs in GNSS Denied Environments,2020,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1516,ANROL: Autonomous Navigation based on ROS and Laser Odometry,2023,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1518,Visual target tracking and relative navigation for unmanned aerial vehicles in a GPS-denied environment,2014,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1526,Multimodal Absolute Visual Localization for Unmanned Aerial Vehicles,2024,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1531,Indoor Drone Localization and Tracking Based on Acoustic Inertial Measurement,2024,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1535,CODE: COllaborative Visual-UWB SLAM for Online Large-Scale Metric DEnse Mapping,2025,Both,,,,,,,,,,,,,,,,,,,,,,,
1558,Waypoint-Informed Localization (WiL): A Novel Integration of 2D Maps and Onboard Sensors for Robust GNSS-Denied Navigation,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1559,Lane detection aided online dead reckoning for gnss denied environments,2021,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1579,"Fusing denoised stereo visual odometry, INS and GPS measurements for autonomous navigation in a tightly coupled approach",2021,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1583,Autonomous Robust Navigation System for MAV Based on Monocular Cameras,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1586,Multi-vehicle Collaborative Navigation Method Based on Datalink Relative Distance in GNSS Denied Environment,2022,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1594,UVL: UAV Visual Localization Method with Enhanced Feature Associations via Visual Attention Mechanism,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1599,Study of Utilizing Multiple IMUs for Inertial Navigation Systems without GPS Aid,2019,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1615,An Optimization-Based Method for Relative Pose Estimation for Collaborating UAVs Using Observed Predefined Trajectories,2026,Both,,,,,,,,,,,,,,,,,,,,,,,
1616,Characterizing the Operating Envelope of an Anomaly-Aware Adaptive EKF for GNSS-Denied USV Formation Relative Localization,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1618,Performance comparison of inertial measurement units fused with odometry in extended Kalman filter for dead-reckoning navigation,2019,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1624,Precision mapping through the stereo vision and geometric transformations in unknown environments,2023,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1627,Disturbance-observer-based Finite-time Following Control With Wind Resistance Capability for Multiple GPS-denied UAVs,2025,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1638,A GNSS/INS/LiDAR Integration Scheme for UAV-Based Navigation in GNSS-Challenging Environments,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1653,A Novel Scene Matching Algorithm via Deep Learning for Vision-based UAV Absolute Localization,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1656,Deep Learning-Based Navigation System for Automatic Landing Approach of Fixed-Wing UAVs in GNSS-Denied Environments,2025,Both,,,,,,,,,,,,,,,,,,,,,,,
1658,Rapid Initialization Method of Unmanned Aerial Vehicle Swarm Based on VIO-UWB in Satellite Denial Environment,2024,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1659,Drone-in-a-Box: A Precise Indoor Autonomous Docking System,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1662,NLOS-Aware LiDAR–UWB Fusion Localization for UAV Inspection in Converter Valve Halls,2026,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1663,Deep learning enabled localization for UAV autolanding,2021,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1667,Autonomous Mapping and Navigation Unit for Aerial Robots,2025,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1677,Use of Information From the Digital Elevation Model in Autonomous Air Navigation Based on Image Odometry,2024,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1685,UWB/INS Positioning for USVs in Complex Environments: A Dual-LSTM Enhanced UKF Framework with Error Compensation,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1690,High Accuracy Robot Indoor Navigation Using Visible Light Positioning and LiDAR Fusion,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1698,Autonomous UAV navigation in post-disaster environments using ORB-SLAM,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1701,Development of an Indoor VIO-Based Navigation System for Unmanned Vehicles,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1703,VISION-BASED LOCALISATION FOR AUTONOMOUS AERIAL NAVIGATION IN GNSS-DENIED SITUATIONS,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1710,Autonomous marine navigation in Global Navigation Satellite System (GNSS) denied environments,2018,Real_World,,,,,,,,,,,,,,,,,,,,,,,
1711,A recovery system for SUAV operations in GPS-denied environments using timing advance measurements,2015,Simulation,,,,,,,,,,,,,,,,,,,,,,,
1716,Vision-based autonomous guidance approach for a nano unmanned aerial vehicle rotorcraft towards indoor flight environment,2020,Real_World,,,,,,,,,,,,,,,,,,,,,,,
