paper_number,title,year,experiment_type,appraiser1_real_robot,appraiser1_ground_truth,appraiser1_repeatability,appraiser1_absolute_and_relative_error,appraiser1_trajectory_duration_scale,appraiser1_failure_or_ablation,appraiser1_established_baseline,appraiser1_matched_baseline,appraiser1_released_code_data_detail,appraiser2_real_robot,appraiser2_ground_truth,appraiser2_repeatability,appraiser2_absolute_and_relative_error,appraiser2_trajectory_duration_scale,appraiser2_failure_or_ablation,appraiser2_established_baseline,appraiser2_matched_baseline,appraiser2_released_code_data_detail,consensus_rigor,consensus_reporting,consensus_baseline,consensus_repro,consensus_notes
445,Towards autonomous landing on a moving vessel through fiducial markers,2017,Simulation,,,,,,,,,,,,,,,,,,,,,,,
453,A proposal for UAV clustering-based relative localization in GNSS-denied environments,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
455,Airborne-Relay-based Algorithm for Locating Crashed UAVs in GPS-Denied Environments,2019,Simulation,,,,,,,,,,,,,,,,,,,,,,,
465,"Employing an Embedded Renderer as Recognition Tool for Odometry, Map-Building, Navigation, and Localization on Active Sensing Robotics",2024,Simulation,,,,,,,,,,,,,,,,,,,,,,,
468,Indoor navigation algorithm for mobile robot using wireless sensor networks,2017,Real_World,,,,,,,,,,,,,,,,,,,,,,,
471,Gaussian Process Regression for Improved Underwater Navigation,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
473,Towards a model of UAVs navigation in urban canyon through defeasible logic,2013,Real_World,,,,,,,,,,,,,,,,,,,,,,,
475,P2P-DroneLoc: Peer-to-Peer Localization for GPS-Denied Drones using Camera and WiFi Fine Time Measurement,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
481,An Onboard Transformer-Based Physics-Informed System for UAV Trajectory Prediction and State Classification in GNSS-Denied Environments,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
486,Visual odometry using optic flow for Unmanned Aerial Vehicles,2015,Real_World,,,,,,,,,,,,,,,,,,,,,,,
487,Photometric-Planner for Visual Path Following,2021,Real_World,,,,,,,,,,,,,,,,,,,,,,,
491,Autonomous indoor navigation of low-cost quadcopters,2015,Real_World,,,,,,,,,,,,,,,,,,,,,,,
494,Joint placement and communication optimization of uav base stations in GPS-denied environments,2024,Simulation,,,,,,,,,,,,,,,,,,,,,,,
498,A Tightly Coupled Polarization Compass and VIO Integrated Navigation for Applications in GNSS-denied environments,2022,Simulation,,,,,,,,,,,,,,,,,,,,,,,
504,An inexpensive method for evaluating the localization performance of a mobile robot navigation system,2014,Real_World,,,,,,,,,,,,,,,,,,,,,,,
512,Improvement of altitude precision in indoor and urban canyon navigation for small flying vehicles,2015,Real_World,,,,,,,,,,,,,,,,,,,,,,,
513,Intelligent Visual Navigation System of High Accuracy,2019,Real_World,,,,,,,,,,,,,,,,,,,,,,,
515,Extended Range AUV Localization and Navigation Aided by Gravity Anomalies and Bathymetry,2020,Real_World,,,,,,,,,,,,,,,,,,,,,,,
521,Multistage Learning-Based Fusion Framework for Autonomous Vehicle Localization in GNSS-Denied Environments,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
522,An Improved Extended Kalman Filter for UAV Localization in UWB Navigation System,2023,Simulation,,,,,,,,,,,,,,,,,,,,,,,
525,Observability Analysis and Optimization of Cooperative Navigation System With a Low-Cost Inertial Sensor Array,2023,Simulation,,,,,,,,,,,,,,,,,,,,,,,
